Station_Sample_ID,Date,Season,State,District,Water_Body_Name,Water_Source_Type,Water_Temperature_C,pH,Dissolved_Oxygen_DO_mg_L,Biochemical_Oxygen_Demand_BOD_mg_L,Chemical_Oxygen_Demand_COD_mg_L,Total_Dissolved_Solids_TDS_mg_L,Turbidity_NTU,Nitrate_NO3_mg_L,Fluoride_F_mg_L,Arsenic_As_mg_L,Lead_Pb_mg_L,Fecal_Coliform_MPN_100ml,Water_Quality_Index_WQI,CPCB_Water_Quality_Class,Potability_Use_Assessment
IND-WQ-000001,2023-11-15,Post-Monsoon,Assam,Guwahati,Brahmaputra River,River (Surface Water),23.7,7.53,7.33,1.31,4.7,339.2,3.9,10.24,0.36,0.0012,0.0037,140,84.4,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000002,2026-01-15,Winter,Madhya Pradesh,Bhopal,Bhojtal (Upper Lake),Lake / Wetland,22.9,7.11,5.97,1.37,4.0,331.9,2.2,2.36,0.63,0.0013,0.0018,80,74.7,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000003,2024-11-28,Post-Monsoon,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,26.7,9.32,0.0,44.62,205.8,1555.0,78.9,64.19,0.9,0.0104,0.0362,25000,38.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000004,2025-04-26,Pre-Monsoon / Summer,Maharashtra,Mumbai,Mithi River,River (Surface Water),29.8,7.79,0.52,53.16,248.8,1791.3,68.3,37.99,1.13,0.0129,0.0533,180000,36.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000005,2025-02-21,Winter,Assam,Cachar (Silchar),Barak River,River (Surface Water),15.5,7.34,6.87,2.32,6.5,332.5,3.7,2.52,0.67,0.0051,0.0021,600,66.2,Class C (Drinking after treatment),Requires Conventional Treatment
IND-WQ-000006,2023-02-11,Winter,Assam,Guwahati,Brahmaputra River,River (Surface Water),18.2,7.63,5.82,1.59,5.6,356.0,13.7,9.05,0.53,0.0056,0.0027,80,75.1,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000007,2026-01-21,Winter,West Bengal,Malda,Groundwater Aquifer (Tube Well),Groundwater (Aquifer),22.5,6.92,4.14,2.2,7.4,358.5,3.2,19.67,0.67,0.0551,0.0031,180,51.2,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000008,2024-06-12,Pre-Monsoon / Summer,Maharashtra,Mumbai,Mithi River,River (Surface Water),32.7,8.49,0.92,41.94,259.0,1775.1,44.4,39.63,1.39,0.0216,0.0453,25000,27.1,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000009,2026-07-12,Monsoon,Maharashtra,Mumbai,Mithi River,River (Surface Water),27.2,7.63,0.37,34.37,213.5,1713.0,118.4,36.66,1.1,0.0279,0.026,1200000,38.1,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000010,2023-10-19,Post-Monsoon,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),21.7,6.87,1.43,18.06,65.8,641.1,74.8,37.98,0.97,0.0052,0.0152,68000,28.1,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000011,2025-08-26,Monsoon,Assam,Cachar (Silchar),Barak River,River (Surface Water),26.7,7.4,6.78,1.53,5.5,246.8,39.3,8.63,0.38,0.0018,0.0031,140,80.4,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000012,2023-04-07,Pre-Monsoon / Summer,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),29.5,9.94,1.03,49.14,235.0,1621.3,47.9,30.52,1.03,0.0111,0.0215,68000,27.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000013,2026-01-23,Winter,Uttar Pradesh,Kanpur,Ganga River (Jajmau Stretch),River (Surface Water),16.3,7.89,1.54,24.09,91.9,1118.0,75.2,41.33,1.24,0.0074,0.0386,1200000,33.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000014,2023-03-15,Pre-Monsoon / Summer,Telangana,Hyderabad,Musi River,River (Surface Water),33.7,7.08,0.0,33.93,218.8,1592.2,54.6,30.73,1.21,0.0057,0.0279,25000,27.4,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000015,2025-12-27,Winter,Bihar,Patna,Ganga River,River (Surface Water),18.8,7.91,4.49,3.79,15.8,493.3,13.6,15.71,0.52,0.0114,0.0168,2400,40.7,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000016,2025-01-27,Winter,Uttar Pradesh,Kanpur,Ganga River (Jajmau Stretch),River (Surface Water),18.4,7.97,1.27,12.73,80.7,1006.0,50.6,32.61,1.47,0.0133,0.0354,1200000,31.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000017,2026-01-05,Winter,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),20.1,8.29,4.08,5.82,25.6,640.4,31.4,20.28,0.55,0.0082,0.0157,8500,44.9,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000018,2023-07-27,Monsoon,Telangana,Hyderabad,Musi River,River (Surface Water),27.8,9.35,0.0,36.33,205.2,2176.2,85.5,45.49,1.74,0.0052,0.0366,450000,19.5,Below Class E (Critically Degraded),Hazardous / Heavily Polluted
IND-WQ-000019,2026-05-29,Pre-Monsoon / Summer,Telangana,Hyderabad,Musi River,River (Surface Water),36.6,8.64,0.65,38.13,244.9,1592.9,38.3,43.91,1.32,0.0137,0.0139,180000,29.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000020,2026-07-09,Monsoon,Punjab,Ludhiana,Buddha Nullah (Sutlej Tributary),River / Drain,27.4,7.54,1.66,41.18,157.8,1934.4,176.1,53.11,1.05,0.0251,0.0318,180000,27.9,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000021,2024-02-14,Winter,Maharashtra,Pune,Mula-Mutha River,River (Surface Water),18.4,7.96,2.43,20.48,95.1,1353.1,73.6,48.38,0.83,0.0085,0.0362,450000,27.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000022,2023-11-27,Post-Monsoon,Odisha,Puri,Chilika Lake,Lake / Lagoon,25.7,7.08,7.89,1.55,6.2,244.5,13.7,1.75,0.76,0.0028,0.007,20,92.3,Class A (Drinking with disinfection),Potable after simple disinfection
IND-WQ-000023,2023-12-10,Winter,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,21.8,8.37,0.38,40.92,227.7,1583.5,29.4,33.13,0.86,0.0112,0.0366,450000,38.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000024,2025-09-15,Monsoon,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,26.0,7.94,0.56,36.03,152.9,1761.9,190.1,59.84,1.41,0.0269,0.0472,1200000,37.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000025,2025-02-09,Winter,West Bengal,Malda,Groundwater Aquifer (Tube Well),Groundwater (Aquifer),20.2,6.71,4.13,1.58,4.6,580.2,3.1,13.97,0.79,0.046,0.0022,60,50.9,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000026,2023-03-15,Pre-Monsoon / Summer,Telangana,Hyderabad,Musi River,River (Surface Water),29.0,8.2,0.0,39.33,164.8,1321.2,45.3,64.93,1.27,0.0137,0.052,25000,28.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000027,2023-09-11,Monsoon,Madhya Pradesh,Bhopal,Bhojtal (Upper Lake),Lake / Wetland,27.2,7.39,7.07,2.24,8.0,377.8,75.3,3.44,0.69,0.0025,0.0068,80,78.8,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000028,2025-08-16,Monsoon,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),31.2,8.6,0.08,35.43,168.9,1486.8,272.5,41.46,1.69,0.0272,0.0326,1200000,26.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
